osmid,y,x,highway,street_count,lon,lat,elevation,ref,geometry
5679504213,5029586.839421204,724575.462537378,,4,11.8686178,45.3837658,11.884,,POINT (724575.462537378 5029586.839421204)
697878233,5029505.61822272,724684.0250688947,,1,11.8699658,45.3830008,12.637,,POINT (724684.0250688947 5029505.61822272)
697878238,5029185.495436185,724666.8514340108,,3,11.869601,45.3801284,11.309,,POINT (724666.8514340108 5029185.495436185)
6594616656,5029180.552524077,724669.2305767444,,3,11.8696291,45.3800832,11.332,,POINT (724669.2305767444 5029180.552524077)
6597183209,5029172.202071233,724637.2078981448,,3,11.8692168,45.3800184,11.627,,POINT (724637.2078981448 5029172.202071233)
6594306098,5029192.155781705,724662.7256172893,,3,11.8695514,45.3801896,11.026,,POINT (724662.7256172893 5029192.155781705)
3457088729,5029185.056582733,724678.8687359415,crossing,4,11.8697541,45.3801206,10.88,,POINT (724678.8687359415 5029185.056582733)
6594616653,5029153.216224398,724682.7798738831,,3,11.8697895,45.3798331,11.323,,POINT (724682.7798738831 5029153.216224398)
6596633854,5029161.968976943,724638.7801769163,,3,11.8692322,45.3799259,11.482,,POINT (724638.7801769163 5029161.968976943)
6594306097,5029180.443615449,724629.0748001004,crossing,4,11.8691168,45.3800951,12.515,,POINT (724629.0748001004 5029180.443615449)
8993602417,5029245.11596593,724624.4160400329,crossing,4,11.8690868,45.380678,11.77,,POINT (724624.4160400329 5029245.11596593)
6597178262,5029253.759773612,724832.3274858918,crossing,4,11.871743,45.380689,11.057,,POINT (724832.3274858918 5029253.759773612)
6597178266,5029240.501582566,724827.6819878446,crossing,4,11.8716777,45.3805713,11.223,,POINT (724827.6819878446 5029240.501582566)
6630975024,5029278.278558413,724830.2212967135,,3,11.8717273,45.3809101,10.772,,POINT (724830.2212967135 5029278.278558413)
6597499468,5029253.431424642,724828.4275367518,,3,11.8716931,45.3806873,11.212,,POINT (724828.4275367518 5029253.431424642)
8993582881,5029252.111094617,724828.521713664,,3,11.8716937,45.3806754,11.236,,POINT (724828.521713664 5029252.111094617)
8993582873,5029230.392403771,724734.5701468207,,4,11.8704853,45.3805103,11.439,,POINT (724734.5701468207 5029230.392403771)
697878288,5029323.3923004735,724824.8399377931,,3,11.8716792,45.3813174,11.113,,POINT (724824.8399377931 5029323.3923004735)
6597499440,5029322.747790543,724820.496662204,crossing,4,11.8716235,45.381313,11.524,,POINT (724820.496662204 5029322.747790543)
6597499461,5029312.2312990045,724826.281027068,crossing,4,11.8716925,45.3812166,11.19,,POINT (724826.281027068 5029312.2312990045)
5679563607,5029278.052045282,724651.2183920855,crossing,4,11.8694437,45.3809655,11.042,,POINT (724651.2183920855 5029278.052045282)
6597499462,5029311.565200817,724822.2677504931,,3,11.871641,45.3812119,11.554,,POINT (724822.2677504931 5029311.565200817)
6597178263,5029302.996887578,724827.473032953,,3,11.8717035,45.3811332,11.073,,POINT (724827.473032953 5029302.996887578)
6597499460,5029312.594580692,724829.9131679543,,3,11.871739,45.3812187,10.953,,POINT (724829.9131679543 5029312.594580692)
6597499411,5029369.851841583,724823.8160198068,crossing,4,11.8716873,45.3817354,10.799,,POINT (724823.8160198068 5029369.851841583)
697878325,5029357.596638035,724772.7991211975,,1,11.8710309,45.3816416,12.925,,POINT (724772.7991211975 5029357.596638035)
9871953454,5029446.564692348,724812.7521174661,,1,11.8715811,45.3824286,11.862,,POINT (724812.7521174661 5029446.564692348)
9871953455,5029445.055450911,724802.8821044681,,3,11.8714545,45.3824182,12.032,,POINT (724802.8821044681 5029445.055450911)
697878397,5029039.188773785,724421.0350556802,turning_circle,1,11.8663987,45.3788919,12.232,,POINT (724421.0350556802 5029039.188773785)
8993582900,5029081.937472256,724715.5198350457,crossing,4,11.8701747,45.3791818,11.433,,POINT (724715.5198350457 5029081.937472256)
697878476,5029140.62917485,724687.5875572435,,2,11.8698451,45.3797184,11.428,,POINT (724687.5875572435 5029140.62917485)
6594318259,5029080.192105516,724711.1843148238,,3,11.8701186,45.3791675,11.472,,POINT (724711.1843148238 5029080.192105516)
6594616665,5029141.320914078,724685.7755499318,crossing,4,11.8698223,45.3797252,11.416,,POINT (724685.7755499318 5029141.320914078)
6594318256,5029137.159200227,724685.1087741195,,3,11.8698119,45.379688,11.54,,POINT (724685.1087741195 5029137.159200227)
697878485,5029139.271655602,724644.2384941608,crossing,4,11.8692915,45.3797201,11.637,,POINT (724644.2384941608 5029139.271655602)
6596597330,5029138.229639535,724615.027834328,crossing,4,11.8689184,45.3797201,11.236,,POINT (724615.027834328 5029138.229639535)
6594616661,5029134.886832369,724644.4889914828,,3,11.8692927,45.3796806,11.848,,POINT (724644.4889914828 5029134.886832369)
6596633857,5029152.409374696,724645.8236591665,,3,11.8693177,45.3798377,11.173,,POINT (724645.8236591665 5029152.409374696)
6594318268,5029132.046253748,724616.9338129216,,3,11.8689399,45.3796639,11.372,,POINT (724616.9338129216 5029132.046253748)
6596633852,5029157.144581066,724625.461161982,,3,11.8690601,45.3798868,12.084,,POINT (724625.461161982 5029157.144581066)
6596508801,5029123.41559429,724606.6744884145,,3,11.8688051,45.3795896,11.92,,POINT (724606.6744884145 5029123.41559429)
6596508803,5029126.854271275,724615.4492732062,,3,11.8689186,45.3796177,11.421,,POINT (724615.4492732062 5029126.854271275)
6593659859,5029245.463598723,724599.8597131068,crossing,4,11.8687737,45.380689,11.706,,POINT (724599.8597131068 5029245.463598723)
5679563616,5029247.520642685,724602.0204559283,,4,11.8688022,45.3807068,11.579,,POINT (724602.0204559283 5029247.520642685)
6593659858,5029239.578885895,724602.3429276745,,3,11.8688027,45.3806353,11.923,,POINT (724602.3429276745 5029239.578885895)
6593659862,5029265.715460037,724608.4814129767,,3,11.8688929,45.3808683,11.588,,POINT (724608.4814129767 5029265.715460037)
10031853560,5029156.541032797,724721.402209021,,3,11.8702837,45.3798506,11.242,,POINT (724721.402209021 5029156.541032797)
6594616659,5029190.380622062,724690.2884521488,,3,11.8699022,45.3801648,10.729,,POINT (724690.2884521488 5029190.380622062)
6594616642,5029069.114667859,724711.2268443421,crossing,4,11.8701141,45.3790679,10.806,,POINT (724711.2268443421 5029069.114667859)
8993582907,5029061.808658546,724663.2762125647,crossing,4,11.8694991,45.3790176,10.993,,POINT (724663.2762125647 5029061.808658546)
5679563838,5029406.097336798,724486.9501385053,,4,11.8674064,45.3821693,11.521,,POINT (724486.9501385053 5029406.097336798)
5679563849,5029373.283356035,724507.5446716171,,3,11.8676542,45.3818677,11.288,,POINT (724507.5446716171 5029373.283356035)
9190082133,5029397.7731126975,724494.9524613591,crossing,4,11.8675047,45.3820919,11.316,,POINT (724494.9524613591 5029397.7731126975)
5679563834,5029410.629986763,724491.7818424812,,3,11.8674701,45.3822085,11.673,,POINT (724491.7818424812 5029410.629986763)
10032340051,5029333.114329551,724549.9037454334,,3,11.8681763,45.381493,11.525,,POINT (724549.9037454334 5029333.114329551)
5679563840,5029379.192406504,724513.5423305302,,3,11.8677334,45.3819189,11.423,,POINT (724513.5423305302 5029379.192406504)
697878868,5029117.2438331945,724718.9634150178,,3,11.8702347,45.3794981,11.07,,POINT (724718.9634150178 5029117.2438331945)
10031853563,5029145.417911984,724727.333597743,,3,11.8703543,45.3797487,11.454,,POINT (724727.333597743 5029145.417911984)
697878891,5029160.46860011,724699.6103853944,,3,11.8700075,45.3798929,11.442,,POINT (724699.6103853944 5029160.46860011)
8993582898,5029088.445684138,724731.4442078297,crossing,4,11.8703808,45.3792352,11.4,,POINT (724731.4442078297 5029088.445684138)
3457088735,5029188.766542003,724686.8262973176,crossing,4,11.8698573,45.3801514,10.696,,POINT (724686.8262973176 5029188.766542003)
5679563606,5029246.835994191,724660.4689901753,,3,11.8695475,45.3806819,10.95,,POINT (724660.4689901753 5029246.835994191)
6597183203,5029186.261095684,724681.4518523529,,3,11.8697876,45.3801306,10.732,,POINT (724681.4518523529 5029186.261095684)
6619861090,5033279.567366575,725286.6754068914,,3,11.8793781,45.4167347,11.146,,POINT (725286.6754068914 5033279.567366575)
6619861091,5033267.237229726,725284.9783998529,,3,11.8793508,45.4166244,11.28,,POINT (725284.9783998529 5033267.237229726)
769171140,5033302.912406318,725288.7533831277,,1,11.8794153,45.4169439,10.935,,POINT (725288.7533831277 5033302.912406318)
701530331,5026784.694436362,726511.3317089055,,3,11.8920289,45.3579515,9.203,,POINT (726511.3317089055 5026784.694436362)
701530334,5026774.212908327,726530.7417721358,,3,11.8922716,45.357851,8.759,,POINT (726530.7417721358 5026774.212908327)
701530366,5026744.256507711,726658.802230093,,1,11.8938908,45.3575403,9.642,,POINT (726658.802230093 5026744.256507711)
702882338,5028896.454832814,725024.8756760666,,3,11.8740364,45.377415,10.901,,POINT (725024.8756760666 5028896.454832814)
703904178,5028897.9596750885,725054.8471605359,,3,11.8744194,45.3774189,10.527,,POINT (725054.8471605359 5028897.9596750885)
6437099458,5028888.16399168,725000.4853392136,crossing,3,11.8737215,45.3773483,11.167,,POINT (725000.4853392136 5028888.16399168)
702882378,5028964.012760027,725021.5914783073,,3,11.8740253,45.3780234,12.467,,POINT (725021.5914783073 5028964.012760027)
703903970,5028901.9426609855,725106.5317073865,,3,11.8750805,45.3774381,11.047,,POINT (725106.5317073865 5028901.9426609855)
703904174,5028813.472304131,725085.8460227784,,3,11.8747763,45.3766494,10.656,,POINT (725085.8460227784 5028813.472304131)
702882508,5028880.858596714,724984.683199089,,3,11.8735166,45.3772877,11.575,,POINT (724984.683199089 5028880.858596714)
6437099447,5028961.687416667,724997.2940055293,,3,11.8737143,45.3780103,11.838,,POINT (724997.2940055293 5028961.687416667)
6437099437,5029008.474094549,725018.8111679286,crossing,4,11.8740101,45.378424,11.148,,POINT (725018.8111679286 5029008.474094549)
702882353,5028932.230739066,725163.4375473454,,3,11.8758202,45.3776921,10.381,,POINT (725163.4375473454 5028932.230739066)
703903930,5028844.658723905,725214.5468699271,,1,11.8764322,45.3768884,10.154,,POINT (725214.5468699271 5028844.658723905)
9730334970,5028989.15148645,725211.0806163562,crossing,4,11.8764539,45.3781885,10.266,,POINT (725211.0806163562 5028989.15148645)
703498666,5029033.623028266,725225.3805313741,,1,11.8766566,45.3785837,11.316,,POINT (725225.3805313741 5029033.623028266)
9730334969,5028985.926807733,725210.4903940991,,3,11.8764449,45.3781597,10.119,,POINT (725210.4903940991 5028985.926807733)
702882541,5029021.275565122,725018.142073614,,3,11.8740074,45.3785393,10.989,,POINT (725018.142073614 5029021.275565122)
9730334965,5029008.729034026,725024.0779426668,,3,11.8740774,45.3784246,11.339,,POINT (725024.0779426668 5029008.729034026)
6437099438,5029012.520807817,725010.6547548503,,3,11.8739079,45.378463,11.052,,POINT (725010.6547548503 5029012.520807817)
702882405,5029019.733694272,725033.5152387993,,3,11.8742028,45.3785205,11.015,,POINT (725033.5152387993 5029019.733694272)
9730334942,5029020.398382351,725028.4586300127,crossing,4,11.8741386,45.3785281,11.015,,POINT (725028.4586300127 5029020.398382351)
9730334967,5029027.559331556,725035.2346172744,crossing,4,11.8742283,45.3785903,11.066,,POINT (725035.2346172744 5029027.559331556)
9730334947,5029018.397482477,725041.8805314864,crossing,4,11.8743089,45.3785058,10.927,,POINT (725041.8805314864 5029018.397482477)
9730334943,5029017.498411447,725027.9272719871,,3,11.8741305,45.3785022,11.021,,POINT (725027.9272719871 5029017.498411447)
702882409,5029075.3743992755,725018.9135113353,,1,11.8740419,45.3790254,11.496,,POINT (725018.9135113353 5029075.3743992755)
702882674,5028999.673374317,724762.410553689,,3,11.8707354,45.3784272,11.554,,POINT (724762.410553689 5028999.673374317)
702882443,5028988.356740458,724910.5941215825,,3,11.8726205,45.3782779,11.577,,POINT (724910.5941215825 5028988.356740458)
702882468,5028917.822103959,724775.9857567743,,3,11.8708713,45.377687,11.257,,POINT (724775.9857567743 5028917.822103959)
