nodeID;EI_ratio;genePC1;receptor_den;t1t2_ratio;cortical_thickness;x;y;z
41;1.720729973;0.071213132;0.44833713;1.896676712;2.632965555;-22.420206;-58.309522;4.858011
42;1.597619969;0.052005234;0.432950322;1.883558757;2.58195162;-26.971093;-91.435064;8.276425
43;1.75115256;0.076692797;0.541196797;2.171720287;2.311301977;-8.370539;-76.764031;11.474612
44;1.688099887;0.026826483;0.556227602;1.921992359;3.129310641;-19.018103;-61.467737;8.35235
45;1.398506317;0.005683251;0.523029244;1.758931827;2.929153803;-43.779756;-71.683422;15.435648
46;1.603390211;0.061301883;0.361720836;2.019384649;2.305544392;-5.535717;-95.987433;10.009254
47;1.619921924;0.070481363;0.343203141;1.971275633;2.457210464;-15.067327;-97.244341;13.151162
48;1.445421266;0.017888216;0.471988186;1.726886987;2.986534548;-37.133845;-82.648378;14.689869
49;1.686208765;0.082099416;0.552376992;2.126473805;2.371294392;-1.98996;-83.2763;12.650162
50;1.710730225;0.019319925;0.560664105;2.089463562;2.570210605;-13.9697;-66.175203;11.317058
51;1.602167913;0.046497979;0.430026018;1.91840778;2.634573791;-24.606859;-90.772072;16.672467
52;1.625875362;0.019513889;0.589578058;2.133538691;2.394504303;-4.877142;-72.252447;18.327711
53;1.763818746;0.069850414;0.480561203;2.011302707;2.439324203;-3.536633;-85.753955;20.212233
54;1.707293415;0.051775435;0.319644692;1.94506409;2.534446345;-8.763878;-91.526969;22.650546
55;1.772629001;0.020811303;0.527509509;1.871072524;2.971842154;-16.930644;-62.504809;19.077198
56;1.847493402;0.056527651;0.501747426;1.987862496;2.534291904;-14.983328;-70.258108;19.345464
57;1.636182274;0.043878588;0.407989457;1.975057982;2.436605005;-17.342119;-88.954165;22.529543
58;1.774329498;0.048154557;0.470259247;1.836625535;2.647942842;-26.635711;-82.179272;19.88939
59;1.768050196;0.032662525;0.498749579;2.00574046;2.488921611;-9.149281;-76.801591;25.025077
60;1.437379277;0.05943197;0.517470382;1.717891392;3.026070275;-31.572511;-82.727938;24.614441
61;1.699888511;0.06383698;0.328834048;1.957544219;2.698113006;-5.723056;-84.915761;31.676678
62;1.576167734;0.06468735;0.316005643;1.938509076;2.62524573;-15.143484;-84.86351;35.737388
63;1.571331493;0.029903732;0.492542104;1.921190207;2.555853925;-22.520858;-80.592052;28.579233
64;1.627263398;0.052870425;0.432392619;1.906684878;2.473235058;-13.647286;-77.311504;34.901123
65;1.412766199;0.02695172;0.417790502;1.84654998;2.633040019;-20.218506;-75.438581;42.172379
66;1.420100265;0.023378213;0.320791989;1.792473934;2.681716573;-14.81532;-74.748758;45.668589
67;1.18121682;-0.03193455;0.575218404;1.914079828;3.428649161;-53.930343;-3.14214;-1.79703
68;1.363750267;0.009933952;0.600944577;2.123677284;3.190237289;-54.157029;-19.011983;5.6417
69;1.343571208;0.007656454;0.582982453;2.076393405;2.852191735;-42.613532;-19.509841;2.531105
70;1.354411898;0.010965149;0.567186531;1.99012791;3.140116359;-57.722206;-27.633658;9.442177
71;1.297724049;-0.012583298;0.684105882;1.783209955;3.571981668;-36.779762;-9.239909;10.679044
72;1.558110215;0.026438799;0.578045597;2.020243267;3.086002288;-36.024665;-22.252909;8.85999
73;1.304826387;0.00304967;0.574207418;1.835067928;3.321714232;-60.333054;-39.582378;10.298593
74;1.662249423;0.035881574;0.493952094;2.179023538;2.955245568;-42.767726;-30.367876;10.031372
75;1.607791845;-0.003481842;0.528540589;1.867483607;3.053312401;-36.133677;-13.765057;16.48173
76;1.575868961;0.045478121;0.530812375;2.027502142;2.761956892;-47.167685;-34.843643;12.552438
77;1.419544992;-0.013159695;0.601883129;1.889320694;3.174540531;-41.355108;-15.422761;18.019939
78;1.882762485;0.027228837;0.464154622;2.002395064;2.923157129;-35.4203;-26.769611;17.820703
79;1.344049472;0.010644094;0.580112026;1.853703853;3.090313642;-54.8313;-38.625143;16.688184
80;1.300857031;-0.000503515;0.616195469;1.854603609;3.420872545;-50.13519;-15.217335;15.314611
81;1.888413929;0.023245634;0.420354025;1.978178274;2.895703792;-40.857435;-35.407005;17.264917
82;1.229676933;-0.000864728;0.559404677;1.887949126;3.228029885;-58.261468;-5.778345;11.955242
83;1.476054302;0.03980851;0.585417257;1.900385143;3.461669769;-44.60202;-24.355307;18.744784
84;1.249183472;0.050191738;0.590464592;1.812410272;3.338605286;-56.010589;-19.426354;19.766838
85;1.344924562;0.042286002;0.646510864;1.846061381;3.383311988;-51.091264;-27.436157;19.609516
86;1.213756469;0.002925892;0.514046457;2.034391471;2.877710627;-57.476402;-3.856423;18.685292
