from,to,length_km,estimated_flow
15,2,71.644654545886,576.14
16,2,126.64536167544415,37.4
17,2,165.0125474549326,22.0
18,2,79.58581151788702,1829.4200000000005
19,2,143.85022586886336,13.059999999999999
20,2,204.90817323790554,2.0
22,2,235.99132235666997,6.0
23,2,221.28218672808958,2.0
24,2,256.40934432838776,14.0
26,2,313.70334063606657,6.0
27,2,331.6906643638358,31.86
33,2,132.6348440330405,14.0
37,2,275.58639065123316,6.0
38,2,297.51985838040207,4.0
39,2,325.00969990285324,4.0
40,2,344.9464587638879,4.0
45,2,200.246830235858,32.18
46,2,243.98119900631977,13.48
48,2,309.1397508411177,2.0
50,2,297.6632858643462,4.0
96,2,11.072353982568435,7994.68
97,2,100.76603366001284,4.0
98,2,112.08268333272308,10.0
103,2,63.67024820176438,179.40000000000003
108,2,83.59084815719089,59.22000000000001
1,3,99.03089738628759,1773.38
2,3,27.207023393932754,9628.72
3,3,0.0,320654.04000000004
4,3,142.69235866226188,56.46
5,3,81.49669583534299,84.16
6,3,82.12986979696153,636.5400000000003
7,3,92.81504842166618,16.2
8,3,189.09798298088708,8.0
9,3,143.94613122603081,26.0
10,3,129.6863384981688,34.66
11,3,175.15845760476472,5.16
12,3,31.90012346143303,5683.839999999998
13,3,61.7492025738133,426.02
14,3,133.13054550855094,2.0
15,3,45.82717004535608,8096.719999999999
16,3,99.57259551325201,146.18
17,3,137.82071272169645,58.0
18,3,63.124396527876755,4043.5199999999986
19,3,119.12964724985311,33.64
20,3,179.76049777102872,10.0
21,3,254.4051876556679,2.0
22,3,209.11526380863427,6.0
23,3,194.6883518122842,29.22
24,3,229.2943111274889,4.0
26,3,286.52257696080824,8.0
27,3,304.78396223874506,15.5
28,3,255.52293094405965,2.0
29,3,271.4883343749445,4.0
33,3,113.96139593118286,31.540000000000003
34,3,153.7461795486838,26.0
35,3,189.7931924042688,107.97999999999999
36,3,216.58329385534992,336.17999999999995
37,3,253.5966874278708,68.28
38,3,272.8859105038138,11.280000000000001
40,3,323.5102412964958,4.0
45,3,185.33501224269037,2.0
46,3,228.36096659459778,24.839999999999996
47,3,253.76819433600946,4.0
48,3,290.92668804573725,2.0
50,3,283.9566586869392,0.0
58,3,517.8348689326361,0.0
93,3,326.31166858275213,2.0
96,3,35.89535292631199,2314.1
97,3,74.94438573622435,50.0
98,3,88.36564622668257,36.82
99,3,357.2086716315815,2.0
100,3,269.1482310166506,2.0
103,3,60.747164271197384,5570.659999999999
108,3,56.38724326936567,441.76000000000005
1,4,75.08811416018308,16415.080000000016
2,4,126.25067247588731,71.62
3,4,142.69235866226188,29.759999999999998
4,4,0.0,580066.1200000002
5,4,65.03091799549989,9229.000000000002
6,4,93.80562052284124,459.3400000000001
7,4,140.14771744352822,10.0
8,4,61.500188135402404,153.80000000000004
9,4,59.97410302028512,1638.62
10,4,122.0299423224552,440.22
11,4,173.07613140121973,18.58
12,4,174.59236756521685,32.0
13,4,202.7401126735336,510.95999999999987
14,4,271.9800776247409,3.42
15,4,163.13256843750392,84.92
16,4,226.76993709637225,92.9
17,4,253.79793700665533,14.0
18,4,134.413597993712,48.739999999999995
19,4,207.35448457444872,63.84
20,4,261.18023877742837,78.0
22,4,332.54384866119693,12.0
23,4,291.40331683061834,14.0
24,4,334.70944943807467,8.92
27,4,400.4300803263887,4.0
29,4,348.5359767576314,2.0
